Name,Handle,Variant,Size,Weight,Retail Price,Currency,Available for sale,Image URL
Puff,puff,Cobalt Blue,12.5 cm x 22 cm,"1,031 g",140,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/puff-cobalt.jpg?v=1785037560
Puff,puff,Teal Green,12.5 cm x 22 cm,"1,031 g",140,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/puff-teal-green-1.jpg?v=1785370661
Puff,puff,Deep Plum,12.5 cm x 22 cm,"1,031 g",140,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/puff-deep-plum-1.jpg?v=1785370788
Petal,petal,Sky blue,19 cm x 22 cm,590 g,80,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/petalskyblue.jpg?v=1780543511
Bolt,bolt,Cobalt Blue,19 cm x 22.5 cm,662 g,90,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/boltcobalt.jpg?v=1780543301
Anchor,anchor,Cobalt Blue,19 cm x 21 cm,"1,569 g",140,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/anchor-cobalt-blue.jpg?v=1785369786
Orb,orb,Cobalt Blue,22 cm x 17.5 cm,"1,328 g",140,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/Untitleddesign_2_f5e54f10-090b-4ca4-8e54-2a7afa3d3b29.jpg?v=1780545921
Halo Table Lamp,halo-lamp,Default Title,,No weight set,270,AUD,Yes,
Pillar Table Lamp,pillar-table-lamp,Default Title,32 cm x 34 cm,2.5 kg,220,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/Untitleddesign.png?v=1781571632
Frill Table Lamp,frill-table-lamp,Default Title,,No weight set,270,AUD,Yes,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/lampFrillTeal.png?v=1781577530
Wave,wave,Default Title,13.5 cm x 16 cm,680 g,90,AUD,No,https://cdn.shopify.com/s/files/1/0717/1650/3594/files/Vasewaveteal.png?v=1781571176
Spool,spool,Default Title,15 cm x 28 cm,No weight set,0,AUD,No,
